일련번호,시도,시군구,면적,아이디
174,평양특별시,역포구역,12253.71,173
175,평양특별시,낙랑구역,9697.39,174
176,평양특별시,강남군,14911.22,175
179,평양특별시,대동강구역,1287.29,178
180,평양특별시,동대원구역,720.84,179
181,평양특별시,선교구역,916.66,180
182,평양특별시,사동구역,12473.53,181
183,평양특별시,민경대구역,8987.57,182
184,평양특별시,서성구역,1274.38,183
185,평양특별시,모란봉구역,491.3,184
186,평양특별시,보통강구역,729.94,185
187,평양특별시,평천구역,839.4,186
188,평양특별시,중구역,1296.45,187
166,평양특별시,룡성구역,13159.4,165
120,량강도,김형권군,126872.7,119
128,량강도,풍서군,181314.69,127
135,량강도,갑산군,115986.57,134
139,량강도,삼수군,87595.89,138
140,량강도,김정숙군,124393.1,139
141,량강도,혜산시,26961.64,140
142,량강도,운흥군,94131.01,141
145,량강도,김형직군,146360.76,144
147,량강도,보천군,78259.73,146
150,량강도,백암군,231210.29,149
151,량강도,삼지연군,134906.5,150
153,량강도,대홍단군,50595.58,152
